ID_marked,original_case_study_title,original_source_citation
R-294,A database seed for a community-driven material intensity research platform,"Heeren, N. and Fishman, T. (2019). A database seed for a community-driven material intensity research platform. Scientific Data, 6(1)."
R-295,,"Heeren et al., 2019"
R-296,,"Heeren et al., 2019"
R-297,,"Heeren et al., 2019"
R-298,,"Heeren et al., 2019"
R-299,,"Heeren et al., 2019"
R-300,,"Heeren et al., 2019"
R-301,,"Heeren et al., 2019"
R-302,The estimation of energy consumption and CO2 emission due to housing construction in Japan,"Suzuki, M., Oka, T., & Okada, K. (1995). The estimation of energy consumption and CO2 emission due to housing construction in Japan. Energy and Buildings. https://doi.org/10.1016/0378-7788(95)00914-J"
R-303,,"Suzuki, Oka, & Okada, 1995"
R-304,,"Suzuki, Oka, & Okada, 1995"
R-305,,"Suzuki, Oka, & Okada, 1995"
R-306,,"Suzuki, Oka, & Okada, 1995"
R-307,,"Suzuki, Oka, & Okada, 1995"
R-308,,"Suzuki, Oka, & Okada, 1995"
R-309,,"Suzuki, Oka, & Okada, 1995"
R-310,Urban stock over time: spatial material stock analysis using 4d-GIS,"Tanikawa, H., & Hashimoto, S. (2009). Urban stock over time: Spatial material stock analysis using 4d-GIS. Building Research and Information. https://doi.org/10.1080/09613210903169394"
R-311,,"Tanikawa & Hashimoto, 2009"
R-312,,"Tanikawa & Hashimoto, 2009"
R-313,A database seed for a community-driven material intensity research platform,"Heeren, N. and Fishman, T. (2019). A database seed for a community-driven material intensity research platform. Scientific Data, 6(1)."
R-314,Towards a more circular construction sector: Estimating and spatialising current and future non-structural material replacement flows to maintain urban building stocks,"Stephan, A., & Athanassiadis, A. (2018). Towards a more circular construction sector: Estimating and spatialising current and future non-structural material replacement flows to maintain urban building stocks. Resources, Conservation and Recycling, 129(April 2017), 248–262. https://doi.org/10.1016/j.resconrec.2017.09.022"
R-315,,"Stephan & Athanassiadis, 2018"
R-316,,"Stephan & Athanassiadis, 2018"
R-317,,"Stephan & Athanassiadis, 2018"
R-318,,"Stephan & Athanassiadis, 2018"
R-319,,"Stephan & Athanassiadis, 2018"
R-320,,"Stephan & Athanassiadis, 2018"
